IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,OUT_BYTES,IN_PKTS,OUT_PKTS,TCP_FLAGS,FLOW_DURATION_MILLISECONDS,Label,Attack
192.168.1.33,35950,192.168.1.190,80,6,7.0,514,2239,5,6,27,192,1,password
192.168.1.36,45666,192.168.1.190,80,6,7.0,522,2187,4,5,27,153,1,xss
192.168.1.184,443,192.168.1.30,36976,6,91.0,52,0,1,0,17,0,0,Benign
192.168.1.33,42500,18.184.104.180,80,6,7.0,620,12815,6,12,27,1366,1,injection
192.168.1.31,41506,192.168.1.190,80,6,7.0,480,112,3,2,26,314,1,ddos
192.168.1.184,443,192.168.1.30,33160,6,91.0,52,52,1,1,17,27,0,Benign
192.168.1.33,8080,192.168.1.193,49242,6,131.0,208,200,2,1,24,55,0,Benign
192.168.1.38,36596,192.168.1.152,80,6,7.0,485,3812,5,7,27,345,1,ddos
192.168.1.31,33170,192.168.1.190,80,6,7.0,112,60,2,1,18,0,1,password
192.168.1.30,43548,192.168.1.190,80,6,7.0,462,2239,4,6,27,156,1,ddos
192.168.1.36,43416,192.168.1.152,80,6,7.0,542,3812,4,7,27,732,1,xss
192.168.1.184,443,192.168.1.30,55514,6,91.0,52,52,1,1,17,22,0,Benign
192.168.1.195,49789,40.90.190.179,443,6,91.0,724,13200,8,24,31,29897,0,Benign
192.168.1.31,56648,192.168.1.184,443,6,91.0,52,0,1,0,16,0,1,ddos
192.168.1.33,54782,192.168.1.152,80,6,7.0,216,3708,4,5,27,45,1,injection
192.168.1.33,49888,192.168.1.190,80,6,7.0,541,2239,5,6,27,57,1,injection
192.168.1.33,48412,192.168.1.195,80,6,7.0,458,2163,5,5,27,319,1,injection
192.168.1.36,49742,192.168.1.190,80,6,7.0,562,2239,4,6,27,284,1,injection
192.168.1.36,40502,192.168.1.190,80,6,7.0,902,2239,5,6,27,486,1,xss
192.168.1.33,48760,192.168.1.195,80,6,7.0,477,696,5,4,27,488,1,injection
192.168.1.152,80,192.168.1.31,56346,6,7.0,52,52,1,1,17,63,0,Benign
192.168.1.33,34226,192.168.1.190,80,6,7.0,534,2239,5,6,27,46,1,injection
192.168.1.33,45280,192.168.1.152,80,6,7.0,535,3760,5,6,27,48,1,injection
192.168.1.36,54164,18.184.104.180,80,6,7.0,808,12815,6,12,27,1715,1,injection
192.168.1.184,443,192.168.1.30,52020,6,91.0,52,0,1,0,17,0,0,Benign
192.168.1.38,45284,192.168.1.184,443,6,91.0,1778,2409,11,12,31,183,1,ddos
192.168.1.31,45890,192.168.1.190,80,6,7.0,112,60,2,1,18,0,1,password
192.168.1.33,35754,18.184.104.180,80,6,7.0,569,12815,6,12,27,1606,1,injection
192.168.1.36,36374,192.168.1.190,80,6,7.0,606,2239,5,6,27,353,1,xss
192.168.1.36,34380,176.28.50.165,80,6,7.0,100,60,2,1,22,320,1,injection
192.168.1.36,60758,192.168.1.195,80,6,7.0,489,696,5,4,27,312,1,injection
192.168.1.33,46928,18.184.104.180,80,6,7.0,495,12815,5,12,27,1665,1,injection
192.168.1.195,61003,192.168.1.79,7678,6,7.0,406,1945,5,6,27,12,0,Benign
192.168.1.36,36268,192.168.1.195,80,6,7.0,180,132,4,3,19,301,1,injection
192.168.1.31,55666,192.168.1.184,443,6,91.0,112,60,2,1,18,0,1,ddos
192.168.1.30,41832,192.168.1.190,80,6,7.0,172,60,3,1,18,984,1,ddos
192.168.1.184,443,192.168.1.31,45494,6,91.0,52,0,1,0,17,0,0,Benign
192.168.1.36,59642,192.168.1.152,80,6,7.0,600,3760,5,6,27,196,1,injection
192.168.1.36,46904,52.59.177.21,80,6,7.178,634,12815,7,12,27,1584,1,injection
192.168.1.38,58108,192.168.1.184,443,6,91.0,1093,2267,9,9,31,436,1,injection
192.168.1.190,80,192.168.1.31,47620,6,7.0,60,52,1,1,18,0,0,Benign
192.168.1.33,36220,192.168.1.195,80,6,7.0,474,736,5,5,27,635,1,injection
192.168.1.30,52812,192.168.1.184,443,6,91.0,112,60,2,1,18,0,1,ddos
192.168.1.33,33400,192.168.1.195,80,6,7.0,488,696,5,4,27,157,1,password
192.168.1.31,45140,192.168.1.194,80,6,7.0,328,240,6,4,18,22747,1,scanning
192.168.1.36,40586,192.168.1.195,80,6,7.0,459,696,5,4,27,161,1,injection
192.168.1.30,44872,192.168.1.184,443,6,91.0,112,60,2,1,18,0,1,ddos
192.168.1.30,33742,192.168.1.1,53,17,5.0,67,67,1,1,0,0,1,injection
192.168.1.33,32808,192.168.1.190,80,6,7.0,511,2239,5,6,27,27,1,injection
192.168.1.31,49345,192.168.1.1,53,17,5.0,140,492,2,2,0,0,1,dos
192.168.1.33,38034,192.168.1.195,80,6,7.0,458,2203,5,6,27,332,1,injection
192.168.1.184,443,192.168.1.31,49650,6,91.0,52,52,1,1,17,0,0,Benign
192.168.1.31,45826,192.168.1.184,443,6,91.0,656,1933,5,12,24,27802,1,ddos
192.168.1.195,55628,40.90.190.179,443,6,91.0,181,165,2,1,24,155,0,Benign
192.168.1.30,55010,192.168.1.152,80,6,7.0,480,3812,5,7,27,45,1,injection
192.168.1.35,46820,192.168.1.152,80,6,7.0,573,3812,6,7,27,65,1,password
192.168.1.184,443,192.168.1.30,47770,6,91.0,52,52,1,1,17,21,0,Benign
192.168.1.33,60402,192.168.1.190,80,6,7.0,535,2239,5,6,27,28,1,injection
192.168.1.36,41476,18.184.104.180,80,6,7.0,519,6164,5,7,26,1715,1,injection
192.168.1.193,55647,192.168.1.37,8080,6,131.0,1440,1200,30,30,22,10236,1,backdoor
192.168.1.31,38199,192.168.1.1,53,17,5.0,71,71,1,1,0,0,1,ddos
192.168.1.31,58658,192.168.1.184,443,6,91.0,52,0,1,0,16,0,1,ddos
192.168.1.33,40816,192.168.1.184,443,6,91.0,1011,1675,7,5,26,187,1,injection
192.168.1.36,37574,192.168.1.152,80,6,7.0,594,3812,5,7,27,200,1,injection
192.168.1.33,49512,192.168.1.195,80,6,7.0,512,696,5,4,27,325,1,password
192.168.1.33,46708,192.168.1.195,80,6,7.0,465,696,5,4,27,211,1,injection
192.168.1.30,58834,192.168.1.184,443,6,91.0,52,0,1,0,16,0,1,ddos
192.168.1.33,49652,192.168.1.195,80,6,7.0,458,2163,5,5,27,387,1,password
192.168.1.193,55212,192.168.1.37,8080,6,131.0,1440,1200,30,30,22,10030,1,backdoor
192.168.1.30,48578,192.168.1.190,80,6,7.0,661,2291,7,7,27,39,1,injection
192.168.1.184,443,192.168.1.31,33272,6,91.0,52,52,1,1,17,57,0,Benign
192.168.1.30,38838,18.184.104.180,80,6,7.0,268,12815,5,12,27,1687,1,injection
192.168.1.30,47214,192.168.1.184,443,6,91.0,990,2010,8,6,26,244,1,ddos
192.168.1.30,44508,192.168.1.190,80,6,7.0,673,112,6,2,27,267,1,ddos
192.168.1.30,43258,192.168.1.194,80,6,7.0,216,180,4,3,18,9747,1,ddos
192.168.1.30,46620,192.168.1.190,80,6,7.0,112,2135,2,4,26,156,1,ddos
192.168.1.195,61574,239.255.255.250,3702,17,153.0,8864,0,8,0,0,520,0,Benign
192.168.1.38,37696,192.168.1.190,80,6,7.0,563,2239,6,6,27,334,1,injection
192.168.1.33,58886,192.168.1.184,443,6,91.0,1132,2319,9,10,31,568,1,injection
192.168.1.36,58814,52.59.177.21,80,6,7.178,547,12763,5,11,27,1440,1,injection
192.168.1.30,36206,192.168.1.1,53,17,5.0,71,71,1,1,0,41,1,dos
192.168.1.31,52174,192.168.1.190,80,6,7.0,579,2239,5,6,27,666,1,injection
192.168.1.79,59534,239.255.255.250,15600,17,0.0,63,0,1,0,0,0,0,Benign
192.168.1.36,36876,192.168.1.152,80,6,7.0,495,3760,5,6,27,55,1,injection
192.168.1.36,49776,52.59.177.21,80,6,7.178,601,12815,6,12,27,1731,1,injection
192.168.1.31,40740,192.168.1.190,80,6,7.0,112,60,2,1,18,0,1,password
192.168.1.35,52318,52.59.177.21,80,6,7.178,565,12815,6,12,27,1703,1,injection
192.168.1.31,54432,192.168.1.190,80,6,7.0,232,60,4,1,18,3006,1,ddos
192.168.1.38,54553,192.168.1.1,53,17,5.0,130,146,2,2,0,4,1,injection
192.168.1.31,33872,192.168.1.184,443,6,91.0,112,60,2,1,18,0,1,ddos
192.168.1.184,443,192.168.1.31,47536,6,91.0,52,0,1,0,17,0,0,Benign
192.168.1.31,45542,192.168.1.152,80,6,7.0,52,0,1,0,16,0,1,ddos
192.168.1.36,46110,192.168.1.190,80,6,7.0,363,2127,2,4,25,40,1,xss
192.168.1.31,41392,192.168.1.190,80,6,7.0,112,60,2,1,18,0,1,password
192.168.1.184,443,192.168.1.30,41534,6,91.0,52,52,1,1,17,0,0,Benign
192.168.1.36,57470,192.168.1.152,80,6,7.0,495,3812,5,7,27,267,1,injection
192.168.1.30,53681,192.168.1.1,53,17,5.0,67,67,1,1,0,0,1,ddos
192.168.1.195,58084,192.168.1.79,9197,6,7.0,396,660,6,6,27,0,0,Benign
192.168.1.33,47518,192.168.1.195,80,6,7.0,479,2052,5,5,27,161,1,injection
192.168.1.31,42842,192.168.1.152,80,6,7.0,112,60,2,1,18,37,1,password
192.168.1.30,40346,192.168.1.184,443,6,91.0,112,60,2,1,18,0,1,ddos
192.168.1.31,36986,192.168.1.195,80,6,7.0,456,696,5,4,27,216,1,password
192.168.1.33,50214,192.168.1.195,80,6,7.0,480,696,5,4,27,270,1,injection
192.168.1.33,52530,192.168.1.190,80,6,7.0,758,2239,5,6,27,27,1,password
192.168.1.36,44378,101.119.11.17,80,6,7.0,603,647,6,5,27,115,1,injection
192.168.1.30,45526,192.168.1.190,80,6,7.0,112,60,2,1,18,0,1,injection
192.168.1.30,34018,192.168.1.190,80,6,7.0,112,60,2,1,18,0,1,scanning
192.168.1.35,58288,192.168.1.195,80,6,7.0,725,696,5,4,27,358,1,injection
192.168.1.36,57958,192.168.1.152,80,6,7.0,542,3760,5,6,27,106,1,injection
192.168.1.36,42892,192.168.1.190,80,6,7.0,762,2239,4,6,27,171,1,injection
192.168.1.33,56876,192.168.1.195,80,6,7.0,478,736,5,5,27,221,1,password
192.168.1.36,36710,192.168.1.190,80,6,7.0,750,2239,5,6,27,406,1,injection
192.168.1.31,40362,192.168.1.184,443,6,91.0,112,60,2,1,18,0,1,ddos
192.168.1.35,42950,192.168.1.184,443,6,91.0,1115,7589,9,11,31,132,1,injection
192.168.1.31,42352,192.168.1.152,80,6,7.0,112,60,2,1,18,15,1,password
192.168.1.30,45122,192.168.1.190,80,6,7.0,559,2239,5,6,27,559,1,password
192.168.1.31,34334,192.168.1.190,80,6,7.0,112,60,2,1,18,0,1,scanning
192.168.1.31,39416,192.168.1.194,80,6,7.0,268,240,5,4,18,22182,1,ddos
192.168.1.36,50356,192.168.1.184,443,6,91.0,1115,7589,9,11,31,258,1,xss
192.168.1.30,36778,192.168.1.184,443,6,91.0,52,0,1,0,16,0,1,ddos
192.168.1.33,43006,192.168.1.190,80,6,7.0,750,2239,5,6,27,106,1,injection
192.168.1.31,41142,192.168.1.152,80,6,7.0,216,112,4,2,19,75,1,ddos
192.168.1.35,55416,176.28.50.165,80,6,7.0,100,60,2,1,22,328,1,xss
192.168.1.33,33642,192.168.1.195,80,6,7.0,483,696,5,4,27,126,1,password
192.168.1.31,60682,192.168.1.152,80,6,7.0,517,3812,5,7,27,60,1,injection
192.168.1.194,80,192.168.1.31,45820,6,7.0,180,156,3,3,18,18835,0,Benign
192.168.1.190,80,192.168.1.31,36632,6,7.0,60,0,1,0,18,0,0,Benign
192.168.1.38,47232,192.168.1.190,80,6,7.0,621,2239,6,6,27,128,1,ddos
192.168.1.184,443,192.168.1.31,53224,6,91.0,727,0,9,0,25,30659,0,Benign
192.168.1.36,52558,192.168.1.152,80,6,7.0,446,3656,4,4,27,143,1,xss
192.168.1.195,58756,192.168.1.79,9197,6,7.0,454,22815,6,19,27,20,0,Benign
192.168.1.6,42938,239.255.255.250,1900,17,153.12,459,0,3,0,0,619,0,Benign
192.168.1.31,38818,192.168.1.190,80,6,7.0,112,60,2,1,18,0,1,ddos
192.168.1.31,40736,192.168.1.184,443,6,91.0,112,60,2,1,18,0,1,ddos
192.168.1.36,35782,192.168.1.190,80,6,7.0,523,2239,5,6,27,157,1,injection
192.168.1.36,58493,192.168.1.1,53,17,5.0,130,146,2,2,0,2,1,injection
192.168.1.30,42601,192.168.1.1,53,17,5.0,67,67,1,1,0,0,1,dos
192.168.1.33,47024,192.168.1.190,80,6,7.0,607,2525,6,6,27,312,1,injection
192.168.1.30,34876,192.168.1.184,443,6,91.0,112,60,2,1,18,0,1,ddos
192.168.1.33,36356,192.168.1.195,80,6,7.0,458,132,5,3,27,413,1,injection
192.168.1.31,48902,192.168.1.1,53,17,5.0,108,108,2,2,0,2,1,ddos
192.168.1.33,56688,192.168.1.195,80,6,7.0,734,696,5,4,27,214,1,injection
192.168.1.1,56504,192.168.1.195,56628,17,12.0,5564,0,16,0,0,1123,0,Benign
192.168.1.30,33352,192.168.1.195,80,6,7.0,140,656,3,3,27,611,1,password
192.168.1.31,51486,192.168.1.184,443,6,91.0,112,60,2,1,18,0,1,ddos
192.168.1.33,4444,192.168.1.193,49370,6,0.0,208,200,2,1,24,56,0,Benign
192.168.1.36,60500,192.168.1.152,80,6,7.0,268,3760,5,6,27,244,1,xss
192.168.1.38,56942,52.59.177.21,80,6,7.178,562,12815,5,12,27,1688,1,injection
192.168.1.36,45264,192.168.1.1,53,17,5.0,136,168,2,2,0,4,1,injection
192.168.1.193,63938,192.168.1.33,8080,6,131.0,1440,1200,30,30,22,10111,1,backdoor
192.168.1.33,54246,192.168.1.152,80,6,7.0,874,3812,5,7,27,42,1,password
192.168.1.35,33354,192.168.1.152,80,6,7.0,775,3760,5,6,27,53,1,xss
192.168.1.30,42154,192.168.1.152,80,6,7.0,538,3812,6,7,27,190,1,password
192.168.1.31,34372,192.168.1.152,80,6,7.0,112,60,2,1,18,2,1,injection
192.168.1.31,38452,192.168.1.190,80,6,7.0,112,60,2,1,18,10,1,ddos
192.168.1.184,443,192.168.1.30,41284,6,91.0,52,0,1,0,17,0,0,Benign
192.168.1.184,443,192.168.1.30,48744,6,91.0,52,0,1,0,17,0,0,Benign
192.168.1.31,58476,192.168.1.195,80,6,7.0,518,696,5,4,27,274,1,password
192.168.1.33,49318,192.168.1.184,443,6,91.0,1087,2163,9,7,31,286,1,injection
192.168.1.33,46000,192.168.1.152,80,6,7.0,563,3760,6,6,27,26,1,injection
192.168.1.30,55582,192.168.1.190,80,6,7.0,112,60,2,1,18,0,1,password
192.168.1.30,46038,192.168.1.184,443,6,91.0,112,60,2,1,18,0,1,ddos
192.168.1.33,55628,192.168.1.184,443,6,91.0,1195,7589,11,11,31,322,1,injection
192.168.1.190,40997,192.5.6.30,53,17,5.0,73,741,1,1,0,12,0,Benign
192.168.1.31,52032,192.168.1.152,80,6,7.0,434,164,4,3,27,224,1,password
192.168.1.1,53,192.168.1.30,58446,17,5.0,71,0,1,0,0,0,0,Benign
